MSN,Timestamp,Workload Energy Consumption (kWh),Description,Unit,Column_Order,Value
HVICBUS,197301,0.304806565,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.04
HVICBUS,197302,0.281946073,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.962
HVICBUS,197303,0.311840563,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.064
HVICBUS,197304,0.297772567,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.016
HVICBUS,197305,0.307444314,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.049
HVICBUS,197306,0.298358734,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.018
HVICBUS,197307,0.265533411,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.906
HVICBUS,197308,0.256447831,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.875
HVICBUS,197309,0.223915592,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.764
HVICBUS,197310,0.243845252,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.832
HVICBUS,197311,0.256740914,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.876
HVICBUS,197312,0.298358734,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.018
HVICBUS,197401,0.3007034,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.026
HVICBUS,197402,0.274618992,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.937
HVICBUS,197403,0.294255569,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.004
HVICBUS,197404,0.29073857,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.992
HVICBUS,197405,0.29982415,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.023
HVICBUS,197406,0.279308324,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.953
HVICBUS,197407,0.255275498,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.871
HVICBUS,197408,0.24003517,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.819
HVICBUS,197409,0.228898007,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.781
HVICBUS,197410,0.217467761,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.742
HVICBUS,197411,0.226553341,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.773
HVICBUS,197412,0.272274326,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.929
,,,,,,
HVICBUS,197501,0.298065651,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.017
HVICBUS,197502,0.265240328,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.905
HVICBUS,197503,0.27901524,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.952
HVICBUS,197504,0.278135991,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.949
HVICBUS,197505,0.29982415,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.023
HVICBUS,197506,0.274912075,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.938
HVICBUS,197507,0.240621336,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.821
HVICBUS,197508,0.216588511,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.739
HVICBUS,197509,0.218053927,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.744
HVICBUS,197510,0.23915592,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.816
HVICBUS,197511,0.239742087,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.818
HVICBUS,197512,0.256447831,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.875
,,,,,,
HVICBUS,197601,0.279601407,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.954
HVICBUS,197602,0.282239156,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.963
HVICBUS,197603,0.292203986,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.997
HVICBUS,197604,0.300117233,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.024
HVICBUS,197605,0.294255569,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,1.004
HVICBUS,197606,0.281946073,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.962
HVICBUS,197607,0.257033998,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.877
HVICBUS,197608,0.235345838,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.803
HVICBUS,197609,0.202227433,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.69
HVICBUS,197610,0.263481829,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.899
HVICBUS,197611,0.261430246,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.892
HVICBUS,197612,0.267291911,Hydroelectric Power Consumed by the Industrial Sector,Trillion Btu,1,0.912
,,,,,,
