Timestamp,Energy Price ($/kWh),Renewable Availability (%),Workload Energy Consumption (kWh),Emission Factor (kg CO2/kWh),Renewable Emission Factor (kg CO2/kWh)
2024-01-01 00:00:00,0.0992,8.96,918.56,0.5,0.02
2024-01-01 01:00:00,0.0987,8.24,1030.61,0.5,0.02
2024-01-01 02:00:00,0.1025,8.14,872.01,0.5,0.02
2024-01-01 03:00:00,0.1046,8.99,854.95,0.5,0.02
2024-01-01 04:00:00,0.1027,8.95,929.28,0.5,0.02
2024-01-01 05:00:00,0.0954,8.84,908.04,0.5,0.02
2024-01-01 06:00:00,0.1516,16.56,964.21,0.5,0.02
2024-01-01 07:00:00,0.1469,40.36,978.47,0.5,0.02
2024-01-01 08:00:00,0.1543,53.12,1195.57,0.5,0.02
2024-01-01 09:00:00,0.1425,74.43,1184.46,0.5,0.02
2024-01-01 10:00:00,0.1442,82.86,1045.42,0.5,0.02
2024-01-01 11:00:00,0.1528,95.84,1105.14,0.5,0.02
2024-01-01 12:00:00,0.2004,94.29,1196.35,0.5,0.02
2024-01-01 13:00:00,0.2085,95.18,1252.0,0.5,0.02
2024-01-01 14:00:00,0.1956,83.18,1128.28,0.5,0.02
2024-01-01 15:00:00,0.2074,73.15,1200.36,0.5,0.02
2024-01-01 16:00:00,0.1969,52.4,987.49,0.5,0.02
2024-01-01 17:00:00,0.1993,35.98,1152.45,0.5,0.02
2024-01-01 18:00:00,0.1729,8.36,830.36,0.5,0.02
2024-01-01 19:00:00,0.1731,8.57,854.02,0.5,0.02
2024-01-01 20:00:00,0.1884,9.7,855.62,0.5,0.02
2024-01-01 21:00:00,0.1776,8.68,928.84,0.5,0.02
2024-01-01 22:00:00,0.0951,9.65,938.73,0.5,0.02
2024-01-01 23:00:00,0.1014,8.79,840.5,0.5,0.02
2024-01-02 00:00:00,0.0987,8.31,865.84,0.5,0.02
2024-01-02 01:00:00,0.1048,8.87,862.21,0.5,0.02
2024-01-02 02:00:00,0.0952,9.01,893.92,0.5,0.02
2024-01-02 03:00:00,0.0968,9.58,775.63,0.5,0.02
2024-01-02 04:00:00,0.096,9.68,947.58,0.5,0.02
2024-01-02 05:00:00,0.0954,8.17,842.79,0.5,0.02
2024-01-02 06:00:00,0.1475,18.05,922.83,0.5,0.02
2024-01-02 07:00:00,0.1492,35.29,908.09,0.5,0.02
2024-01-02 08:00:00,0.147,53.84,1207.66,0.5,0.02
2024-01-02 09:00:00,0.1477,67.77,1113.69,0.5,0.02
2024-01-02 10:00:00,0.1472,72.7,1158.45,0.5,0.02
2024-01-02 11:00:00,0.1436,96.03,1088.9,0.5,0.02
2024-01-02 12:00:00,0.2032,87.61,1148.56,0.5,0.02
2024-01-02 13:00:00,0.1982,84.5,1174.2,0.5,0.02
2024-01-02 14:00:00,0.1969,77.59,1037.54,0.5,0.02
2024-01-02 15:00:00,0.1919,69.42,1162.84,0.5,0.02
2024-01-02 16:00:00,0.2044,51.59,1209.58,0.5,0.02
2024-01-02 17:00:00,0.2025,40.34,1042.04,0.5,0.02
2024-01-02 18:00:00,0.1831,9.36,833.29,0.5,0.02
2024-01-02 19:00:00,0.1784,8.29,765.76,0.5,0.02
2024-01-02 20:00:00,0.1837,9.37,981.55,0.5,0.02
2024-01-02 21:00:00,0.1727,8.63,920.72,0.5,0.02
2024-01-02 22:00:00,0.0964,9.01,836.97,0.5,0.02
2024-01-02 23:00:00,0.1011,9.24,807.2,0.5,0.02
2024-01-03 00:00:00,0.1,8.54,1022.13,0.5,0.02
2024-01-03 01:00:00,0.1007,8.28,912.61,0.5,0.02
2024-01-03 02:00:00,0.0968,9.25,947.1,0.5,0.02
2024-01-03 03:00:00,0.098,9.52,1030.51,0.5,0.02
2024-01-03 04:00:00,0.1012,9.63,823.27,0.5,0.02
2024-01-03 05:00:00,0.1022,8.89,888.79,0.5,0.02
2024-01-03 06:00:00,0.145,19.85,973.51,0.5,0.02
2024-01-03 07:00:00,0.1475,33.98,886.56,0.5,0.02
2024-01-03 08:00:00,0.1451,54.21,1031.0,0.5,0.02
2024-01-03 09:00:00,0.1472,62.49,1095.66,0.5,0.02
2024-01-03 10:00:00,0.1442,81.23,1167.28,0.5,0.02
2024-01-03 11:00:00,0.1553,81.24,1084.02,0.5,0.02
2024-01-03 12:00:00,0.197,93.07,1068.82,0.5,0.02
2024-01-03 13:00:00,0.2093,90.16,1073.63,0.5,0.02
2024-01-03 14:00:00,0.1988,74.98,1104.35,0.5,0.02
2024-01-03 15:00:00,0.1979,72.67,1167.12,0.5,0.02
2024-01-03 16:00:00,0.1917,56.99,1102.81,0.5,0.02
2024-01-03 17:00:00,0.1924,35.31,1058.64,0.5,0.02
2024-01-03 18:00:00,0.1785,9.73,938.53,0.5,0.02
2024-01-03 19:00:00,0.1864,8.9,896.82,0.5,0.02
2024-01-03 20:00:00,0.1846,8.32,916.72,0.5,0.02
2024-01-03 21:00:00,0.1888,8.94,1021.26,0.5,0.02
2024-01-03 22:00:00,0.0976,8.18,818.67,0.5,0.02
2024-01-03 23:00:00,0.0987,8.19,971.22,0.5,0.02
2024-01-04 00:00:00,0.0964,9.42,860.56,0.5,0.02
2024-01-04 01:00:00,0.0987,9.84,877.21,0.5,0.02
2024-01-04 02:00:00,0.1047,8.61,858.73,0.5,0.02
2024-01-04 03:00:00,0.1018,8.35,820.26,0.5,0.02
2024-01-04 04:00:00,0.1014,8.49,994.04,0.5,0.02
2024-01-04 05:00:00,0.0956,9.48,837.82,0.5,0.02
